"lineName","MARKET_ME","GENDER"
"BEBA1550","RM075","F"
"BUYA2136","RM075","M"
"BEBA1556","RM080","F"
"BOJE2127","RM080","M"
"BEBE2036","RM085","F"
"BAJA278","RM085","M"
"BEBE906","RM090","F"
"BAJI224","RM090","M"
"BIDA345","RM095","F"
"BAJP1911","RM095","M"
"COBO1924","RM100","F"
"17IFI6","RM100","M"
"DIDD1901","RM105","F"
"DILX1640","RM105","M"
"HIDA1690","RM110","F"
"DILU757","RM110","M"
"JYDB2065","RM115","F"
"JULW2001","RM115","M"
"JEDA415","RM120","F"
"JILI2065","RM120","M"
"HUKI1698","RM105","F"
"DILU1707","RM105","M"
"HIDA1939","RM110","F"
"FOLX1573","RM110","M"
"HODA349","RM115","F"
"JUDA1718","RM115","F"
"JYDO2004","RM115","F"
"JULV2136","RM115","M"
"JULI2034","RM115","M"
"JYLI1908","RM115","M"
